buy,sell,ma,total_ret,cagr,max_dd,sharpe
1.1,0.74,200,5831.84,17.01,-69.92,0.5
1.1,0.76,200,5831.84,17.01,-69.92,0.5
1.1,0.72,200,5831.84,17.01,-69.92,0.5
1.1,0.75,200,5831.84,17.01,-69.92,0.5
1.09,0.7,200,5817.23,17.0,-71.63,0.5
1.09,0.71,200,5817.23,17.0,-71.63,0.5
1.1,0.8,200,5809.72,16.99,-64.07,0.5
1.04,0.77,150,5775.15,16.97,-70.57,0.49
1.07,0.81,250,5772.91,16.97,-62.0,0.5
1.06,0.81,250,5772.91,16.97,-62.0,0.5
1.06,0.82,250,5772.91,16.97,-62.0,0.5
1.07,0.82,250,5772.91,16.97,-62.0,0.5
1.05,0.76,150,5752.58,16.95,-69.76,0.49
1.01,0.79,200,5729.35,16.93,-66.27,0.5
1.02,0.76,200,5721.53,16.93,-69.96,0.49
1.1,0.7,150,5718.98,16.92,-70.86,0.49
1.1,0.71,150,5718.98,16.92,-70.86,0.49
1.04,0.85,200,5697.26,16.91,-63.76,0.5
1.12,0.72,150,5688.37,16.9,-69.79,0.49
1.12,0.75,150,5688.37,16.9,-69.79,0.49
1.12,0.76,150,5688.37,16.9,-69.79,0.49
1.12,0.74,150,5688.37,16.9,-69.79,0.49
1.12,0.73,150,5688.37,16.9,-69.79,0.49
1.01,0.78,200,5686.16,16.9,-66.25,0.5
1.03,0.85,250,5684.41,16.9,-60.01,0.5
1.11,0.81,200,5681.66,16.9,-62.73,0.5
1.06,0.78,200,5675.52,16.89,-66.75,0.5
1.06,0.79,200,5675.52,16.89,-66.75,0.5
1.02,0.75,200,5672.84,16.89,-69.94,0.49
1.02,0.74,200,5672.84,16.89,-69.94,0.49
1.03,0.81,150,5663.42,16.88,-73.62,0.5
1.05,0.75,150,5660.89,16.88,-69.72,0.49
1.02,0.73,200,5644.48,16.87,-69.93,0.49
1.05,0.73,150,5610.98,16.84,-69.7,0.49
1.05,0.74,150,5610.98,16.84,-69.7,0.49
1.08,0.79,150,5603.67,16.83,-67.07,0.49
1.02,0.72,200,5597.34,16.83,-69.91,0.49
1.13,0.81,150,5595.31,16.83,-62.37,0.5
1.11,0.7,150,5587.94,16.82,-70.86,0.49
1.11,0.71,150,5587.94,16.82,-70.86,0.49
1.05,0.72,150,5581.92,16.82,-69.68,0.49
1.08,0.82,250,5575.47,16.81,-61.89,0.5
1.08,0.81,250,5575.47,16.81,-61.89,0.5
1.09,0.82,250,5575.47,16.81,-61.89,0.5
1.09,0.81,250,5575.47,16.81,-61.89,0.5
1.02,0.77,250,5515.98,16.76,-66.75,0.49
1.04,0.73,250,5498.31,16.75,-69.66,0.49
1.05,0.74,250,5498.31,16.75,-69.66,0.49
1.05,0.72,250,5498.31,16.75,-69.66,0.49
1.04,0.74,250,5498.31,16.75,-69.66,0.49
1.05,0.73,250,5498.31,16.75,-69.66,0.49
1.05,0.7,250,5498.31,16.75,-69.66,0.49
1.05,0.71,250,5498.31,16.75,-69.66,0.49
1.04,0.71,250,5498.31,16.75,-69.66,0.49
1.04,0.7,250,5498.31,16.75,-69.66,0.49
