buy,sell,ma,total_ret,cagr,max_dd,sharpe
1.08,0.8,200,31227.83,24.75,-79.55,0.61
1.02,0.86,250,31130.87,24.73,-74.14,0.61
1.09,0.81,200,31080.24,24.73,-78.54,0.61
1.04,0.84,200,30970.86,24.71,-76.37,0.61
1.04,0.8,150,30963.81,24.71,-78.88,0.61
1.07,0.7,150,30596.62,24.65,-86.56,0.61
1.07,0.71,150,30596.62,24.65,-86.56,0.61
1.07,0.78,150,30570.96,24.65,-81.49,0.61
1.1,0.81,150,30290.8,24.6,-78.19,0.61
1.03,0.76,250,30122.72,24.58,-81.66,0.61
1.03,0.75,250,30122.72,24.58,-81.66,0.61
1.03,0.85,200,30085.93,24.57,-74.62,0.61
1.06,0.71,150,30056.18,24.56,-86.56,0.6
1.06,0.7,150,30056.18,24.56,-86.56,0.6
1.09,0.8,150,29766.92,24.52,-79.21,0.61
1.09,0.74,150,29492.69,24.47,-85.02,0.6
1.09,0.72,150,29492.69,24.47,-85.02,0.6
1.09,0.75,150,29492.69,24.47,-85.02,0.6
1.09,0.73,150,29492.69,24.47,-85.02,0.6
1.09,0.76,150,29492.69,24.47,-85.02,0.6
1.11,0.81,150,29421.78,24.46,-78.47,0.61
1.09,0.8,200,29384.43,24.46,-79.55,0.61
1.11,0.83,200,29242.29,24.43,-75.5,0.61
1.04,0.71,200,29194.38,24.43,-86.78,0.6
1.04,0.7,200,29194.38,24.43,-86.78,0.6
1.05,0.7,200,29194.38,24.43,-86.78,0.6
1.05,0.71,200,29194.38,24.43,-86.78,0.6
1.02,0.79,200,29189.37,24.43,-81.79,0.61
1.08,0.74,200,29166.77,24.42,-85.26,0.6
1.08,0.76,200,29166.77,24.42,-85.26,0.6
1.07,0.72,200,29166.77,24.42,-85.26,0.6
1.08,0.72,200,29166.77,24.42,-85.26,0.6
1.06,0.75,200,29166.77,24.42,-85.26,0.6
1.06,0.74,200,29166.77,24.42,-85.26,0.6
1.06,0.73,200,29166.77,24.42,-85.26,0.6
1.07,0.75,200,29166.77,24.42,-85.26,0.6
1.07,0.74,200,29166.77,24.42,-85.26,0.6
1.06,0.76,200,29166.77,24.42,-85.26,0.6
1.07,0.76,200,29166.77,24.42,-85.26,0.6
1.06,0.72,200,29166.77,24.42,-85.26,0.6
1.08,0.75,200,29166.77,24.42,-85.26,0.6
1.08,0.73,200,29166.77,24.42,-85.26,0.6
1.07,0.73,200,29166.77,24.42,-85.26,0.6
1.1,0.82,200,29103.92,24.41,-78.3,0.61
