buy,sell,total_ret,cagr,max_dd,sharpe
1.07,0.84,5690.6,28.9,-78.67,0.67
1.0,0.89,5525.79,28.67,-69.65,0.68
1.03,0.85,5494.19,28.63,-74.62,0.67
1.01,0.89,5472.66,28.59,-69.65,0.68
1.04,1.0,5470.54,28.59,-50.09,0.74
1.02,1.0,5399.74,28.49,-51.75,0.73
1.04,0.98,5372.4,28.45,-50.09,0.73
1.14,0.81,5372.04,28.45,-74.27,0.67
1.02,0.89,5347.43,28.41,-69.65,0.67
1.14,0.8,5328.28,28.38,-74.48,0.67
1.04,0.85,5206.84,28.2,-75.92,0.66
1.04,0.99,5193.12,28.18,-50.09,0.72
1.02,0.98,5101.76,28.04,-50.1,0.71
1.01,1.0,5004.82,27.89,-53.23,0.72
1.03,1.0,4938.68,27.79,-50.09,0.72
1.02,0.99,4924.72,27.76,-53.43,0.71
1.03,0.89,4906.98,27.74,-69.64,0.66
1.0,0.92,4883.57,27.7,-63.53,0.67
1.05,1.0,4833.16,27.62,-50.09,0.72
1.01,0.92,4808.73,27.58,-63.53,0.67
1.0,0.97,4797.13,27.56,-63.53,0.69
1.15,0.75,4781.6,27.53,-81.66,0.65
1.15,0.72,4781.6,27.53,-81.66,0.65
1.15,0.73,4781.6,27.53,-81.66,0.65
1.15,0.71,4781.6,27.53,-81.66,0.65
1.15,0.76,4781.6,27.53,-81.66,0.65
1.15,0.74,4781.6,27.53,-81.66,0.65
1.01,0.98,4750.55,27.48,-52.92,0.7
1.01,0.99,4747.45,27.48,-55.32,0.7
1.0,0.94,4741.2,27.47,-63.53,0.68
1.02,0.97,4722.09,27.44,-63.53,0.69
1.08,0.84,4721.18,27.43,-82.24,0.65
1.0,0.98,4680.15,27.37,-53.41,0.7
1.01,0.94,4668.49,27.35,-63.53,0.68
1.04,0.89,4649.79,27.32,-70.94,0.66
1.0,0.88,4642.01,27.3,-71.82,0.66
1.0,0.87,4642.01,27.3,-71.82,0.66
