buy,sell,total_ret,cagr,max_dd,sharpe
1.03,0.89,2006.54,21.0,-47.86,0.65
1.04,1.0,1977.25,20.9,-33.43,0.77
1.04,0.98,1975.97,20.89,-33.14,0.76
1.02,1.0,1973.78,20.88,-33.33,0.76
1.0,0.92,1966.02,20.86,-41.17,0.68
1.0,0.88,1960.84,20.84,-47.32,0.64
1.0,0.87,1960.84,20.84,-47.32,0.64
1.09,0.84,1959.64,20.83,-53.11,0.64
1.15,0.72,1956.11,20.82,-56.53,0.66
1.15,0.75,1956.11,20.82,-56.53,0.66
1.15,0.76,1956.11,20.82,-56.53,0.66
1.15,0.73,1956.11,20.82,-56.53,0.66
1.15,0.71,1956.11,20.82,-56.53,0.66
1.15,0.74,1956.11,20.82,-56.53,0.66
1.04,0.89,1954.63,20.81,-47.51,0.65
1.01,0.87,1952.21,20.8,-47.32,0.64
1.01,0.88,1952.21,20.8,-47.32,0.64
1.01,0.92,1951.74,20.8,-41.14,0.68
1.05,0.85,1940.93,20.76,-47.02,0.63
1.04,0.99,1939.12,20.76,-33.05,0.76
1.02,0.98,1938.88,20.76,-32.85,0.75
1.02,0.88,1931.35,20.73,-47.32,0.64
1.02,0.87,1931.35,20.73,-47.32,0.64
1.0,0.94,1919.46,20.68,-40.26,0.7
1.01,1.0,1907.13,20.64,-33.18,0.75
1.01,0.94,1905.74,20.63,-40.23,0.7
1.02,0.99,1902.38,20.62,-32.76,0.75
1.0,0.97,1898.69,20.61,-38.85,0.73
1.0,0.86,1891.14,20.58,-47.32,0.63
1.03,1.0,1888.35,20.57,-33.17,0.76
1.02,0.97,1883.08,20.55,-38.93,0.73
1.01,0.86,1883.06,20.55,-47.32,0.63
1.01,0.98,1879.04,20.53,-32.63,0.74
1.01,0.99,1872.68,20.51,-32.66,0.74
1.14,0.79,1871.9,20.5,-55.3,0.64
1.14,0.78,1871.9,20.5,-55.3,0.64
1.0,0.98,1866.56,20.48,-32.65,0.74
1.02,0.86,1863.55,20.47,-47.32,0.63
1.05,1.0,1861.12,20.46,-33.13,0.76
1.03,0.87,1856.39,20.44,-47.19,0.64
1.03,0.88,1856.39,20.44,-47.19,0.64
1.03,0.98,1850.23,20.42,-32.78,0.74
1.0,0.93,1849.29,20.42,-40.08,0.69
1.0,0.99,1844.09,20.4,-32.68,0.74
1.1,0.84,1837.26,20.37,-49.67,0.64
1.01,0.93,1836.48,20.37,-40.05,0.69
1.14,0.77,1829.96,20.34,-56.21,0.64
1.04,0.87,1811.25,20.27,-46.84,0.63
1.04,0.88,1811.25,20.27,-46.84,0.63
1.05,0.89,1799.69,20.22,-47.51,0.63
1.03,0.99,1797.96,20.22,-32.7,0.74
1.03,0.86,1793.41,20.2,-47.19,0.63
1.01,0.97,1791.29,20.19,-38.24,0.72
1.11,0.84,1780.48,20.15,-49.03,0.64
1.04,0.97,1770.88,20.11,-38.59,0.73
1.03,0.97,1757.46,20.05,-38.49,0.72
1.0,0.91,1751.79,20.03,-40.86,0.66
1.04,0.86,1751.14,20.03,-46.84,0.62
1.12,0.84,1741.24,19.99,-48.39,0.64
1.01,0.91,1740.28,19.98,-40.82,0.66
1.02,0.92,1729.51,19.94,-39.84,0.67
1.06,0.85,1715.9,19.88,-47.34,0.61
1.05,0.99,1705.54,19.84,-32.8,0.74
1.05,0.98,1703.8,19.83,-32.78,0.73
1.15,0.82,1688.72,19.77,-47.57,0.66
1.15,0.83,1688.72,19.77,-47.57,0.66
1.02,0.94,1683.72,19.75,-38.89,0.69
1.13,0.84,1682.43,19.74,-46.79,0.65
1.05,0.88,1676.52,19.72,-46.84,0.62
1.05,0.87,1676.52,19.72,-46.84,0.62
1.0,0.9,1676.16,19.72,-40.27,0.65
1.01,0.9,1665.63,19.67,-40.24,0.65
1.15,0.81,1648.86,19.6,-48.69,0.65
1.15,0.8,1643.96,19.58,-48.83,0.65
1.02,0.93,1629.21,19.52,-38.71,0.68
1.05,0.86,1624.97,19.5,-46.84,0.61
1.0,0.95,1594.38,19.37,-37.88,0.68
1.04,0.95,1592.23,19.36,-38.39,0.69
1.07,0.85,1570.34,19.26,-49.29,0.6
1.05,0.97,1563.16,19.23,-37.99,0.71
1.02,0.91,1560.83,19.22,-39.53,0.65
1.03,0.92,1560.53,19.21,-38.87,0.66
1.06,1.0,1539.86,19.12,-32.67,0.73
1.04,0.94,1539.65,19.12,-38.11,0.68
1.06,0.89,1531.03,19.08,-47.41,0.61
1.01,0.95,1523.15,19.05,-37.34,0.68
1.15,0.79,1520.33,19.03,-52.3,0.63
1.15,0.78,1520.33,19.03,-52.3,0.63
1.03,0.94,1519.34,19.03,-37.92,0.68
1.02,0.96,1507.98,18.98,-36.65,0.69
1.04,0.93,1506.88,18.97,-38.05,0.67
1.0,0.96,1503.09,18.95,-36.46,0.69
1.02,0.9,1501.31,18.94,-38.97,0.64
1.03,0.95,1497.74,18.93,-37.57,0.68
1.02,0.95,1497.21,18.93,-37.24,0.68
1.15,0.77,1492.6,18.9,-53.08,0.63
1.03,0.93,1475.67,18.82,-37.75,0.67
1.04,0.92,1475.03,18.82,-38.1,0.66
1.08,0.85,1465.48,18.78,-52.27,0.59
1.04,0.96,1461.39,18.76,-36.57,0.69
1.05,0.95,1451.15,18.71,-38.06,0.67
1.06,0.87,1442.69,18.67,-46.73,0.6
1.06,0.88,1442.69,18.67,-46.73,0.6
1.03,0.96,1439.43,18.65,-36.37,0.69
1.01,0.96,1436.52,18.64,-35.93,0.68
1.03,0.91,1424.25,18.58,-38.57,0.64
1.05,0.94,1408.48,18.5,-37.78,0.67
1.09,0.85,1405.96,18.49,-53.11,0.58
1.06,0.86,1405.87,18.49,-46.73,0.59
1.06,0.99,1386.86,18.39,-32.89,0.7
1.05,0.93,1384.62,18.38,-37.75,0.66
1.07,0.89,1381.55,18.37,-46.69,0.59
1.03,0.9,1376.18,18.34,-38.03,0.64
1.16,0.75,1373.9,18.33,-49.56,0.64
1.16,0.71,1373.9,18.33,-49.56,0.64
1.16,0.72,1373.9,18.33,-49.56,0.64
1.16,0.73,1373.9,18.33,-49.56,0.64
1.16,0.76,1373.9,18.33,-49.56,0.64
1.16,0.74,1373.9,18.33,-49.56,0.64
1.06,0.98,1368.05,18.3,-32.91,0.7
1.04,0.91,1355.04,18.23,-37.82,0.64
1.1,0.85,1343.52,18.18,-49.67,0.59
1.07,1.0,1343.43,18.17,-32.2,0.71
1.05,0.92,1331.84,18.12,-37.49,0.64
1.05,0.96,1324.98,18.08,-36.06,0.68
1.13,0.89,1315.27,18.03,-39.92,0.61
1.04,0.9,1312.73,18.02,-37.3,0.63
1.07,0.88,1312.41,18.01,-47.8,0.59
1.07,0.87,1312.41,18.01,-47.8,0.59
1.08,0.89,1303.21,17.97,-49.41,0.59
1.14,0.84,1301.57,17.96,-43.89,0.64
1.11,0.85,1287.11,17.88,-49.03,0.58
1.07,0.86,1283.68,17.86,-47.8,0.58
1.06,0.97,1278.65,17.84,-36.95,0.67
1.12,0.85,1260.26,17.74,-48.39,0.58
1.1,0.89,1257.09,17.72,-46.8,0.59
1.13,0.87,1254.0,17.7,-41.26,0.6
1.13,0.88,1254.0,17.7,-41.26,0.6
1.08,1.0,1249.73,17.68,-31.55,0.7
1.08,0.88,1244.03,17.65,-51.03,0.58
1.08,0.87,1244.03,17.65,-51.03,0.58
1.16,0.82,1243.49,17.65,-43.43,0.65
1.16,0.83,1243.49,17.65,-43.43,0.65
1.09,0.89,1240.3,17.63,-50.39,0.58
1.05,0.91,1238.88,17.62,-37.21,0.62
1.07,0.99,1233.43,17.59,-33.11,0.68
1.13,0.86,1228.5,17.56,-42.97,0.59
1.13,0.85,1228.46,17.56,-44.27,0.59
1.06,0.95,1224.53,17.54,-37.21,0.65
1.16,0.81,1224.41,17.54,-44.2,0.65
1.16,0.8,1222.08,17.53,-44.29,0.64
1.07,0.98,1220.0,17.52,-33.13,0.68
1.08,0.86,1219.49,17.51,-51.03,0.57
1.05,0.9,1206.12,17.44,-37.02,0.62
1.1,0.88,1203.56,17.42,-48.51,0.58
1.1,0.87,1203.56,17.42,-48.51,0.58
1.06,0.94,1197.67,17.39,-36.95,0.64
1.11,0.89,1191.03,17.35,-46.2,0.58
1.09,0.87,1189.14,17.34,-51.94,0.57
1.09,0.88,1189.14,17.34,-51.94,0.57
1.06,0.93,1184.28,17.31,-36.95,0.64
1.1,0.86,1181.35,17.3,-48.51,0.58
1.12,0.89,1169.68,17.23,-45.6,0.58
1.07,0.97,1168.02,17.22,-36.23,0.66
1.09,0.86,1167.97,17.22,-51.94,0.57
1.09,1.0,1164.86,17.2,-31.9,0.68
1.16,0.78,1162.9,17.19,-46.68,0.63
1.16,0.79,1162.9,17.19,-46.68,0.63
1.08,0.99,1160.11,17.17,-33.29,0.67
1.15,0.84,1155.71,17.15,-42.02,0.64
1.16,0.77,1149.62,17.11,-47.21,0.63
1.08,0.98,1149.21,17.11,-33.31,0.67
1.11,0.88,1145.88,17.09,-47.88,0.58
1.11,0.87,1145.88,17.09,-47.88,0.58
1.07,0.95,1140.11,17.06,-36.7,0.64
1.06,0.96,1135.2,17.03,-35.18,0.65
1.06,0.92,1134.75,17.03,-36.8,0.62
1.12,0.88,1127.23,16.98,-47.26,0.58
1.12,0.87,1127.23,16.98,-47.26,0.58
1.11,0.86,1127.2,16.98,-47.88,0.57
1.07,0.94,1119.06,16.93,-36.45,0.63
1.12,0.86,1109.67,16.88,-47.26,0.57
1.07,0.93,1108.61,16.87,-36.45,0.63
1.14,0.89,1094.87,16.79,-38.65,0.62
1.09,0.99,1093.54,16.78,-33.45,0.66
1.09,0.98,1084.91,16.72,-33.47,0.66
1.06,0.91,1078.65,16.69,-36.73,0.6
1.08,0.97,1078.3,16.68,-34.53,0.65
1.08,0.95,1074.09,16.66,-35.27,0.63
1.07,0.92,1069.88,16.63,-36.59,0.61
1.14,0.88,1062.85,16.59,-39.63,0.61
1.14,0.87,1062.85,16.59,-39.63,0.61
1.07,0.96,1060.26,16.57,-34.56,0.64
1.06,0.9,1058.9,16.56,-36.59,0.6
1.08,0.94,1057.55,16.55,-35.05,0.62
1.08,0.93,1049.38,16.5,-35.39,0.62
1.14,0.85,1049.17,16.5,-41.97,0.6
1.14,0.86,1048.82,16.5,-40.92,0.6
1.1,1.0,1045.3,16.48,-32.7,0.66
1.09,0.95,1033.09,16.4,-34.39,0.62
1.09,0.97,1028.38,16.37,-33.68,0.64
1.07,0.91,1025.74,16.35,-36.52,0.6
1.16,0.84,1023.65,16.34,-39.78,0.65
1.09,0.94,1019.32,16.31,-34.75,0.62
1.08,0.92,1019.0,16.31,-36.29,0.6
1.09,0.93,1012.55,16.27,-35.32,0.61
1.07,0.9,1010.21,16.25,-36.4,0.59
1.15,0.89,1009.96,16.25,-37.83,0.63
1.1,0.99,999.43,16.18,-33.84,0.65
1.08,0.96,999.22,16.18,-34.43,0.63
1.1,0.98,993.93,16.14,-33.86,0.64
1.1,0.95,990.92,16.12,-34.41,0.62
1.15,0.88,989.37,16.11,-38.6,0.62
1.15,0.87,989.37,16.11,-38.6,0.62
1.09,0.92,987.32,16.1,-36.15,0.6
1.08,0.91,984.17,16.08,-36.24,0.59
1.11,1.0,982.84,16.07,-33.14,0.65
1.15,0.85,980.64,16.05,-40.48,0.61
1.1,0.94,979.95,16.05,-34.78,0.62
1.15,0.86,979.72,16.05,-39.62,0.61
1.1,0.93,974.57,16.01,-35.26,0.62
1.08,0.9,971.92,16.0,-36.14,0.59
1.13,0.95,971.28,15.99,-34.47,0.64
1.13,0.94,966.56,15.96,-34.83,0.64
1.1,0.97,966.41,15.96,-33.99,0.63
1.17,0.71,966.3,15.96,-39.99,0.65
1.17,0.76,966.3,15.96,-39.99,0.65
1.17,0.75,966.3,15.96,-39.99,0.65
1.17,0.73,966.3,15.96,-39.99,0.65
1.17,0.74,966.3,15.96,-39.99,0.65
1.18,0.75,966.3,15.96,-39.99,0.65
1.17,0.72,966.3,15.96,-39.99,0.65
1.18,0.73,966.3,15.96,-39.99,0.65
1.18,0.72,966.3,15.96,-39.99,0.65
1.18,0.76,966.3,15.96,-39.99,0.65
1.18,0.74,966.3,15.96,-39.99,0.65
1.18,0.71,966.3,15.96,-39.99,0.65
1.09,0.96,965.12,15.95,-34.49,0.62
1.19,0.74,964.23,15.94,-39.92,0.65
1.19,0.73,964.23,15.94,-39.92,0.65
1.19,0.71,964.23,15.94,-39.92,0.65
1.19,0.72,964.23,15.94,-39.92,0.65
1.19,0.76,964.23,15.94,-39.92,0.65
1.19,0.75,964.23,15.94,-39.92,0.65
1.13,0.93,961.59,15.92,-35.31,0.64
1.09,0.91,958.25,15.9,-36.1,0.59
1.1,0.92,954.48,15.88,-35.95,0.6
1.11,0.95,953.76,15.87,-34.47,0.62
1.11,0.99,951.21,15.85,-34.04,0.64
1.09,0.9,948.03,15.83,-36.01,0.58
1.11,0.98,947.29,15.83,-34.06,0.64
1.13,0.92,946.92,15.82,-36.04,0.62
1.11,0.94,945.99,15.82,-34.79,0.62
1.12,0.95,943.32,15.8,-34.51,0.62
1.13,1.0,942.1,15.79,-33.52,0.66
1.17,1.0,942.08,15.79,-33.48,0.68
1.11,0.93,941.82,15.79,-35.2,0.61
1.12,0.94,938.61,15.77,-34.81,0.62
1.16,1.0,935.33,15.74,-33.54,0.68
1.12,0.93,934.68,15.74,-35.21,0.62
1.14,1.0,933.27,15.73,-33.56,0.67
1.15,1.0,932.61,15.72,-33.56,0.67
1.16,0.89,932.41,15.72,-36.82,0.64
1.17,0.84,931.91,15.72,-37.82,0.66
1.17,0.82,931.91,15.72,-37.82,0.66
1.17,0.83,931.91,15.72,-37.82,0.66
1.1,0.91,931.26,15.72,-35.91,0.59
1.18,1.0,931.12,15.71,-33.48,0.68
1.19,1.0,929.53,15.7,-33.49,0.68
1.13,0.91,928.71,15.7,-36.03,0.61
1.11,0.97,927.42,15.69,-34.18,0.63
1.17,0.81,927.19,15.69,-38.1,0.66
1.11,0.92,926.79,15.68,-35.8,0.6
