buy,sell,ma,total_ret,cagr,max_dd,sharpe
1.19,0.72,60,0.0,0.0,0.0,-9.294372190689888e+16
1.19,0.73,60,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.81,120,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.8,120,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.87,120,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.86,120,0.0,0.0,0.0,-9.294372190689888e+16
1.19,0.99,60,0.0,0.0,0.0,-9.294372190689888e+16
1.19,1.0,60,0.0,0.0,0.0,-9.294372190689888e+16
1.19,0.97,60,0.0,0.0,0.0,-9.294372190689888e+16
1.19,0.98,60,0.0,0.0,0.0,-9.294372190689888e+16
1.19,0.8,60,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.83,60,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.75,120,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.84,60,0.0,0.0,0.0,-9.294372190689888e+16
1.19,0.76,60,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.82,120,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.92,60,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.83,120,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.77,60,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.76,60,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.75,60,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.74,60,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.95,60,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.73,60,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.94,60,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.93,60,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.79,60,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.78,60,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.84,120,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.85,120,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.79,180,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.8,180,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.81,180,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.82,180,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.87,180,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.88,180,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.89,180,0.0,0.0,0.0,-9.294372190689888e+16
1.2,0.9,180,0.0,0.0,0.0,-9.294372190689888e+16
